Trade #,Side,Entry Time,Entry Price,Exit Time,Exit Price,Position Size (USDT),PnL (USDT),PnL (%),Cumulative PnL (USDT)
845,SHORT,2022-06-23T03:58:59.999Z,1076.85,2022-06-23T04:37:59.999Z,1082.13,1000.00,-4.90,-0.4903,610.54
846,SHORT,2022-06-23T14:01:59.999Z,1108.71,2022-06-23T18:36:59.999Z,1100.33,1000.00,7.56,0.7558,618.09
847,SHORT,2022-06-24T04:02:59.999Z,1150.74,2022-06-24T04:05:59.999Z,1156.30,1000.00,-4.83,-0.4832,613.26
848,SHORT,2022-06-24T04:42:59.999Z,1146.90,2022-06-24T05:44:59.999Z,1154.37,1000.00,-6.51,-0.6513,606.75
849,SHORT,2022-06-24T05:58:59.999Z,1140.34,2022-06-24T07:44:59.999Z,1153.64,1000.00,-11.66,-1.1663,595.09
850,SHORT,2022-06-24T10:02:59.999Z,1147.04,2022-06-24T10:20:59.999Z,1155.13,1000.00,-7.05,-0.7053,588.03
851,SHORT,2022-06-24T15:16:59.999Z,1195.93,2022-06-24T17:04:59.999Z,1208.48,1000.00,-10.49,-1.0494,577.54
852,SHORT,2022-06-25T00:10:59.999Z,1218.27,2022-06-25T03:57:59.999Z,1224.57,1000.00,-5.17,-0.5171,572.37
853,SHORT,2022-06-25T04:30:59.999Z,1215.09,2022-06-25T04:52:59.999Z,1223.88,1000.00,-7.23,-0.7234,565.13
854,SHORT,2022-06-25T06:25:59.999Z,1215.15,2022-06-25T07:11:59.999Z,1228.55,1000.00,-11.03,-1.1027,554.11
855,SHORT,2022-06-25T10:28:59.999Z,1223.04,2022-06-25T17:40:59.999Z,1197.62,1000.00,20.78,2.0784,574.89
856,SHORT,2022-06-26T01:43:59.999Z,1231.97,2022-06-26T04:16:59.999Z,1237.37,1000.00,-4.38,-0.4383,570.51
857,SHORT,2022-06-26T09:52:59.999Z,1237.24,2022-06-26T10:19:59.999Z,1246.18,1000.00,-7.23,-0.7226,563.28
858,SHORT,2022-06-26T13:07:59.999Z,1234.56,2022-06-26T19:29:59.999Z,1225.82,1000.00,7.08,0.7079,570.36
859,SHORT,2022-06-26T22:24:59.999Z,1216.83,2022-06-27T01:51:59.999Z,1214.04,1000.00,2.29,0.2293,572.65
860,SHORT,2022-06-27T05:34:59.999Z,1215.29,2022-06-27T07:02:59.999Z,1223.61,1000.00,-6.85,-0.6846,565.81
861,SHORT,2022-06-27T11:33:59.999Z,1222.16,2022-06-27T18:20:59.999Z,1203.22,1000.00,15.50,1.5497,581.30
862,SHORT,2022-06-27T23:37:59.999Z,1193.34,2022-06-28T04:32:59.999Z,1182.76,1000.00,8.87,0.8866,590.17
863,SHORT,2022-06-28T14:19:59.999Z,1216.37,2022-06-28T21:54:59.999Z,1166.88,1000.00,40.69,4.0687,630.86
864,SHORT,2022-06-28T22:09:59.999Z,1162.51,2022-06-29T01:55:59.999Z,1153.00,1000.00,8.18,0.8181,639.04
865,SHORT,2022-06-29T02:29:59.999Z,1147.10,2022-06-29T02:39:59.999Z,1151.32,1000.00,-3.68,-0.3679,635.36
866,SHORT,2022-06-29T03:45:59.999Z,1147.85,2022-06-29T04:37:59.999Z,1153.09,1000.00,-4.57,-0.4565,630.79
867,SHORT,2022-06-29T05:29:59.999Z,1146.06,2022-06-29T09:30:59.999Z,1139.82,1000.00,5.44,0.5445,636.24
868,SHORT,2022-06-29T09:59:59.999Z,1129.56,2022-06-29T10:20:59.999Z,1133.28,1000.00,-3.29,-0.3293,632.95
869,SHORT,2022-06-29T10:29:59.999Z,1130.51,2022-06-29T14:51:59.999Z,1120.88,1000.00,8.52,0.8518,641.46
870,SHORT,2022-06-29T15:10:59.999Z,1112.92,2022-06-29T18:33:59.999Z,1105.50,1000.00,6.67,0.6667,648.13
871,SHORT,2022-06-29T18:42:59.999Z,1103.00,2022-06-29T19:08:59.999Z,1108.04,1000.00,-4.57,-0.4569,643.56
872,SHORT,2022-06-29T22:39:59.999Z,1105.44,2022-06-30T04:24:59.999Z,1095.92,1000.00,8.61,0.8612,652.17
873,SHORT,2022-06-30T04:39:59.999Z,1091.85,2022-06-30T04:49:59.999Z,1094.20,1000.00,-2.15,-0.2152,650.02
874,SHORT,2022-06-30T04:56:59.999Z,1090.93,2022-06-30T12:48:59.999Z,1036.45,1000.00,49.94,4.9939,699.96
875,SHORT,2022-06-30T13:37:59.999Z,1017.33,2022-06-30T15:09:59.999Z,1028.09,1000.00,-10.58,-1.0577,689.38
876,SHORT,2022-06-30T18:34:59.999Z,1027.53,2022-06-30T21:25:59.999Z,1030.77,1000.00,-3.15,-0.3153,686.23
877,SHORT,2022-06-30T22:11:59.999Z,1018.85,2022-06-30T22:24:59.999Z,1029.12,1000.00,-10.08,-1.0080,676.15
878,SHORT,2022-06-30T23:24:59.999Z,1019.66,2022-06-30T23:35:59.999Z,1030.10,1000.00,-10.24,-1.0239,665.91
879,SHORT,2022-07-01T03:52:59.999Z,1068.11,2022-07-01T07:32:59.999Z,1067.98,1000.00,0.12,0.0122,666.03
880,SHORT,2022-07-01T09:59:59.999Z,1063.60,2022-07-01T13:45:59.999Z,1071.01,1000.00,-6.97,-0.6967,659.07
881,SHORT,2022-07-01T14:35:59.999Z,1047.24,2022-07-01T14:59:59.999Z,1057.42,1000.00,-9.72,-0.9721,649.35
882,SHORT,2022-07-01T19:29:59.999Z,1060.90,2022-07-01T20:13:59.999Z,1075.04,1000.00,-13.33,-1.3328,636.02
883,SHORT,2022-07-01T21:55:59.999Z,1068.16,2022-07-01T23:32:59.999Z,1071.27,1000.00,-2.91,-0.2912,633.11
884,SHORT,2022-07-01T23:55:59.999Z,1056.66,2022-07-02T05:29:59.999Z,1048.32,1000.00,7.89,0.7893,641.00
885,SHORT,2022-07-02T05:41:59.999Z,1044.40,2022-07-02T06:05:59.999Z,1047.21,1000.00,-2.69,-0.2691,638.31
886,SHORT,2022-07-02T06:45:59.999Z,1045.30,2022-07-02T06:52:59.999Z,1050.05,1000.00,-4.54,-0.4544,633.76
887,SHORT,2022-07-02T07:44:59.999Z,1044.50,2022-07-02T10:50:59.999Z,1045.70,1000.00,-1.15,-0.1149,632.61
888,SHORT,2022-07-02T15:32:59.999Z,1045.94,2022-07-02T16:10:59.999Z,1056.16,1000.00,-9.77,-0.9771,622.84
889,SHORT,2022-07-02T23:46:59.999Z,1068.18,2022-07-03T03:44:59.999Z,1065.74,1000.00,2.28,0.2284,625.13
890,SHORT,2022-07-03T04:54:59.999Z,1044.04,2022-07-03T05:02:59.999Z,1077.02,1000.00,-31.59,-3.1589,593.54
891,SHORT,2022-07-03T06:00:59.999Z,1058.39,2022-07-03T08:09:59.999Z,1064.15,1000.00,-5.44,-0.5442,588.10
892,SHORT,2022-07-03T08:12:59.999Z,1060.30,2022-07-03T10:18:59.999Z,1062.87,1000.00,-2.42,-0.2424,585.67
893,SHORT,2022-07-03T12:47:59.999Z,1056.71,2022-07-03T16:22:59.999Z,1056.63,1000.00,0.08,0.0076,585.75
894,SHORT,2022-07-03T23:59:59.999Z,1074.26,2022-07-04T02:15:59.999Z,1075.02,1000.00,-0.71,-0.0707,585.04
895,SHORT,2022-07-04T02:24:59.999Z,1070.68,2022-07-04T09:29:59.999Z,1055.41,1000.00,14.26,1.4262,599.30
896,SHORT,2022-07-04T14:41:59.999Z,1084.98,2022-07-04T15:05:59.999Z,1122.75,1000.00,-34.81,-3.4812,564.49
897,SHORT,2022-07-05T02:33:59.999Z,1145.65,2022-07-05T03:36:59.999Z,1150.99,1000.00,-4.66,-0.4661,559.83
898,SHORT,2022-07-05T08:06:59.999Z,1147.72,2022-07-05T17:14:59.999Z,1099.32,1000.00,42.17,4.2171,602.00
899,SHORT,2022-07-05T23:28:59.999Z,1135.51,2022-07-06T00:52:59.999Z,1148.50,1000.00,-11.44,-1.1440,590.56
900,SHORT,2022-07-06T01:29:59.999Z,1139.06,2022-07-06T04:07:59.999Z,1133.07,1000.00,5.26,0.5259,595.82
901,SHORT,2022-07-06T06:08:59.999Z,1128.31,2022-07-06T07:04:59.999Z,1135.03,1000.00,-5.96,-0.5956,589.86
902,SHORT,2022-07-06T10:45:59.999Z,1138.36,2022-07-06T13:15:59.999Z,1140.21,1000.00,-1.63,-0.1625,588.24
903,SHORT,2022-07-06T15:10:59.999Z,1132.06,2022-07-06T16:37:59.999Z,1139.95,1000.00,-6.97,-0.6970,581.27
904,SHORT,2022-07-07T02:21:59.999Z,1175.66,2022-07-07T07:34:59.999Z,1176.17,1000.00,-0.43,-0.0434,580.84
905,SHORT,2022-07-07T22:32:59.999Z,1230.78,2022-07-07T23:37:59.999Z,1239.68,1000.00,-7.23,-0.7231,573.60
906,SHORT,2022-07-08T05:34:59.999Z,1252.32,2022-07-08T05:42:59.999Z,1255.50,1000.00,-2.54,-0.2539,571.07
907,SHORT,2022-07-08T05:49:59.999Z,1249.51,2022-07-08T12:16:59.999Z,1229.75,1000.00,15.81,1.5814,586.88
908,SHORT,2022-07-08T12:33:59.999Z,1215.82,2022-07-08T14:49:59.999Z,1229.65,1000.00,-11.38,-1.1375,575.50
